7zip	25.01+dfsg-1~deb13u1
rpicam-apps-opencv-postprocess	1.10.1-1
rpicam-apps-preview	1.10.1-1
rpinters	1.6
rsync	3.4.1+ds1-5+deb13u1
runit-helper	2.16.4
samba-libs	2:4.22.6+dfsg-0+deb13u1
sane-airscan	0.99.35-1
sane-utils	1.3.1-3+b1
scrot	1.12.1-1
sed	4.9-2+b1
sense-hat	1.5
sensible-utils	0.0.25
sgml-base	1.31+nmu1
shared-mime-info	2.4-5+b2
slurp	1.5.0-1+b1
sound-theme-freedesktop	0.8-6~deb13u1
sq	1.3.1-2+b2
squeekboard	1.43.1-1+rpt1
sqv	1.3.0-3+b2
ssh	1:10.0p1-7
ssh-import-id	5.10-3
ssl-cert	1.1.3
strace	6.13+ds-1
sudo	1.9.16p2-3
sudopwd	0.2
swayidle	1.8.0-1+b1
swaylock	1.8.2-1+rpt4
system-config-printer-common	1.5.18-4
system-config-printer-udev	1.5.18-4
systemd	257.9-1~deb13u1
systemd-sysv	257.9-1~deb13u1
systemd-timesyncd	257.9-1~deb13u1
systemd-zram-generator	1.2.1-2
sysvinit-utils	3.14-4
tar	1.35+dfsg-3.1
thonny	4.1.7-1
timgm6mb-soundfont	1.3-5
tk8.6-blt2.5	2.5.3+dfsg-8
tzdata	2025b-4+deb13u1
ucf	3.0052
udev	257.9-1~deb13u1
udisks2	2.10.1-12.1+deb13u1
unzip	6.0-29
update-inetd	4.53
upower	1.90.9-1
usb-modeswitch	2.6.1-4+b2
usb-modeswitch-data	20191128-7
usb.ids	2025.07.26-1
usbutils	1:018-2
userconf-pi	0.15
util-linux	2.41-5
uuid	1.6.4-1
uuid-dev	2.41-5
v4l-utils	1.30.1-1
va-driver-all	2.22.0-3
vdpau-driver-all	1.5-3+b1
vim-common	2:9.1.1230-2
vim-tiny	2:9.1.1230-2
vlc	1:3.0.23-0+deb13u1+rpt1
vlc-bin	1:3.0.23-0+deb13u1+rpt1
vlc-data	1:3.0.23-0+deb13u1+rpt1
vlc-l10n	1:3.0.23-0+deb13u1+rpt1
vlc-plugin-access-extra	1:3.0.23-0+deb13u1+rpt1
vlc-plugin-base	1:3.0.23-0+deb13u1+rpt1
vlc-plugin-notify	1:3.0.23-0+deb13u1+rpt1
vlc-plugin-qt	1:3.0.23-0+deb13u1+rpt1
vlc-plugin-samba	1:3.0.23-0+deb13u1+rpt1
vlc-plugin-skins2	1:3.0.23-0+deb13u1+rpt1
vlc-plugin-video-output	1:3.0.23-0+deb13u1+rpt1
vlc-plugin-video-splitter	1:3.0.23-0+deb13u1+rpt1
vlc-plugin-visualization	1:3.0.23-0+deb13u1+rpt1
vulkan-tools	1.4.304.0+dfsg1-1
wamerican	2020.12.07-4
wayvnc	0.9.1-1+rpt5
wbritish	2020.12.07-4
webp-pixbuf-loader	0.2.7-1+b1
wf-panel-pi	1.8
wfplug-batt	1.1
wfplug-bluetooth	1.6
wfplug-clock	1.3
wfplug-connect	1.9
wfplug-cpu	1.1
wfplug-cputemp	1.1
wfplug-ejecter	1.6
wfplug-gpu	1.1
wfplug-menu	1.10
wfplug-netman	1.8
wfplug-power	1.4
wfplug-squeek	1.1
wfplug-updater	1.3
wfplug-volumepulse	1.7
wget	1.25.0-2
whiptail	0.52.25-1
wireless-regdb	2025.07.10-1
wireless-tools	30~pre9-18+b1
wireplumber	0.5.8-2
wlopm	0.1.0-1+b1
wlr-randr	0.4.1-1
wpasupplicant	2:2.10-24
x11-common	1:7.7+24+deb13u1
x11-xkb-utils	7.7+9
x11-xserver-utils	7.7+11
x11proto-dev	2024.1-1
xarchiver	1:0.5.4.25-2
xauth	1:1.1.2-1.1
xcompmgr	1.1.8-1+rpt2
xdg-desktop-portal	1.20.3+ds-1
xdg-desktop-portal-gtk	1.15.3-1
xdg-desktop-portal-wlr	0.7.1-2
xdg-user-dirs	0.18-2
xdg-utils	1.2.1-2
xfconf	4.20.0-1
xfonts-encodings	1:1.0.4-2.2
xfonts-utils	1:7.7+7
xinit	1.4.2-1+b2
xinput	1.6.4-1+b2
xkb-data	2.42-1
xml-core	0.19
xmlstarlet	1.6.1-4+b1
xorg-sgml-doctools	1:1.11-1.1
xsel	1.2.1-1+b1
xserver-common	2:21.1.16-1.3+rpt1+deb13u1
xserver-xorg	1:7.7+24+deb13u1
xserver-xorg-core	2:21.1.16-1.3+rpt1+deb13u1
xserver-xorg-input-all	1:7.7+24+deb13u1
xserver-xorg-input-libinput	1.5.0-1
xserver-xorg-video-all	1:7.7+24+deb13u1
xserver-xorg-video-amdgpu	23.0.0-1+b2
xserver-xorg-video-ati	1:22.0.0-1+b2
xserver-xorg-video-fbdev	1:0.5.0-2+b2
xserver-xorg-video-nouveau	1:1.0.18-1
xserver-xorg-video-radeon	1:22.0.0-1+b2
xsettingsd	1.0.2-1+b1
xtrans-dev	1.4.0-1
xwayland	2:24.1.6-1+rpt1
xz-utils	5.8.1-1
zenity	4.1.90-1
zenity-common	4.1.90-1
zenoty	0.3
zip	3.0-15
zlib1g	1:1.3.dfsg+really1.3.1-1+b1
zlib1g-dev	1:1.3.dfsg+really1.3.1-1+b1
zstd	1.5.7+dfsg-1
